epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1188.62,1.44375,4.3297,1.50555,0.6506,0.07124,0.07869,0.05666,0.93058,3.38075,1.00785,6.50266e-05,6.50266e-05,6.50266e-05
2,2445.33,1.25574,3.22166,1.40635,0.94894,0.19595,0.2183,0.15902,0.96492,1.8835,1.17976,0.000129069,0.000129069,0.000129069
3,3626.5,1.21836,2.23479,1.41698,0.98029,0.2348,0.27089,0.20565,0.89789,1.25866,1.14166,0.000191819,0.000191819,0.000191819
