epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,797.757,0.79709,0.5076,1.01236,0.99329,0.96154,0.991,0.82225,0.70231,0.49521,0.93765,0.0011684,0.0011684,0.0011684
44,815.668,0.84033,0.52005,1.02862,0.99459,0.92308,0.98312,0.78373,0.8081,0.54536,1.0067,0.0011486,0.0011486,0.0011486
45,832.451,0.79892,0.50965,1.00063,1,0.91365,0.96051,0.80819,0.61414,0.53671,0.90872,0.0011288,0.0011288,0.0011288
46,847.774,0.82635,0.5229,1.01322,0.96142,0.95864,0.96828,0.78914,0.71081,0.58323,0.97175,0.001109,0.001109,0.001109
47,866.224,0.84462,0.51711,1.03486,1,0.95945,0.991,0.80542,0.77268,0.49769,0.97022,0.0010892,0.0010892,0.0010892
48,885.753,0.78894,0.48907,1.01056,1,0.96053,0.98402,0.80457,0.70409,0.52698,0.93844,0.0010694,0.0010694,0.0010694
49,903.061,0.82102,0.50259,1.02283,0.99738,0.92308,0.9816,0.83562,0.74762,0.54628,0.94658,0.0010496,0.0010496,0.0010496
50,920.977,0.77667,0.49997,1.02683,1,0.9586,0.991,0.82441,0.74904,0.51699,0.97506,0.0010298,0.0010298,0.0010298
51,938.868,0.80784,0.49999,1.01263,0.99569,0.92308,0.98454,0.82877,0.63089,0.49512,0.92444,0.00101,0.00101,0.00101
52,956.155,0.79353,0.53487,1.01381,0.95918,0.96154,0.98296,0.78823,0.68649,0.5686,0.94767,0.0009902,0.0009902,0.0009902
53,970.776,0.80453,0.49048,0.99729,0.993,0.96154,0.98233,0.78744,0.77143,0.48533,0.96451,0.0009704,0.0009704,0.0009704
54,987.61,0.79342,0.50849,1.01563,0.95767,0.96154,0.98454,0.82489,0.60222,0.46594,0.89607,0.0009506,0.0009506,0.0009506
55,1006.79,0.78071,0.50944,1.01345,0.99533,0.92308,0.97565,0.80176,0.72163,0.50442,0.99081,0.0009308,0.0009308,0.0009308
56,1026.38,0.82322,0.48015,1.0234,0.99845,0.96154,0.96855,0.81065,0.67579,0.48559,0.94363,0.000911,0.000911,0.000911
57,1042.08,0.76049,0.49169,1.02876,1,0.95991,0.98794,0.83424,0.63928,0.4466,0.90603,0.0008912,0.0008912,0.0008912
58,1060.44,0.73299,0.45035,0.9933,0.95617,0.92308,0.98616,0.81249,0.68625,0.50033,0.98675,0.0008714,0.0008714,0.0008714
59,1077.86,0.75566,0.46085,0.99999,0.98626,0.96154,0.9919,0.8298,0.64222,0.44645,0.93021,0.0008516,0.0008516,0.0008516
60,1095.63,0.73181,0.47068,1.01188,0.95976,0.96154,0.96228,0.81064,0.68413,0.4463,0.95269,0.0008318,0.0008318,0.0008318
61,1112.47,0.71935,0.45215,1.00367,0.95231,0.92308,0.98511,0.83841,0.6724,0.45681,0.92371,0.000812,0.000812,0.000812
62,1128.37,0.75003,0.44316,0.97927,0.96135,0.95693,0.98946,0.85103,0.62379,0.45399,0.90527,0.0007922,0.0007922,0.0007922
63,1145,0.76481,0.45691,1.00951,0.99559,0.92308,0.98784,0.83628,0.62737,0.40873,0.90126,0.0007724,0.0007724,0.0007724
64,1161.72,0.73605,0.44875,0.99992,0.99196,0.92308,0.97358,0.78671,0.71895,0.50652,0.96087,0.0007526,0.0007526,0.0007526
65,1181.29,0.72232,0.45143,0.97772,0.99486,0.92308,0.97527,0.80942,0.67965,0.51712,0.95248,0.0007328,0.0007328,0.0007328
66,1198.3,0.67961,0.43204,0.9552,0.99605,0.92308,0.94033,0.80141,0.72645,0.58926,0.95347,0.000713,0.000713,0.000713
67,1216.67,0.67571,0.40495,0.97287,0.99652,0.92308,0.9872,0.82714,0.66441,0.48736,0.92196,0.0006932,0.0006932,0.0006932
68,1235.27,0.69891,0.41746,0.96952,0.9987,0.96154,0.98729,0.82467,0.6997,0.47619,0.96061,0.0006734,0.0006734,0.0006734
69,1252.53,0.69324,0.44311,0.96549,0.99573,0.96154,0.98794,0.82003,0.70503,0.45546,0.96664,0.0006536,0.0006536,0.0006536
70,1267.78,0.68177,0.41827,0.97359,0.99868,0.96154,0.98938,0.82697,0.65617,0.4005,0.95036,0.0006338,0.0006338,0.0006338
71,1285.25,0.67683,0.41568,0.95721,0.95997,0.96154,0.98575,0.82646,0.63775,0.45739,0.92993,0.000614,0.000614,0.000614
72,1304.01,0.6612,0.39738,0.93965,0.92809,0.99295,0.9884,0.79993,0.7082,0.45642,0.94473,0.0005942,0.0005942,0.0005942
73,1316.89,0.69255,0.43422,0.96332,0.96279,0.99535,0.99241,0.8458,0.64259,0.41961,0.91111,0.0005744,0.0005744,0.0005744
74,1334.17,0.65453,0.39691,0.93899,0.95911,0.96154,0.99036,0.84457,0.62856,0.43821,0.91756,0.0005546,0.0005546,0.0005546
