epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6351,1.9541,4.90041,2.34106,0,0,0,0,1.08646,5.35165,1.59947,5.61867e-05,5.61867e-05,5.61867e-05
2,96.2414,0.97426,4.5291,1.64881,0.00514,0.0566,0.00538,0.00485,0.34641,5.0222,0.82263,0.000112396,0.000112396,0.000112396
3,149.049,0.76583,4.36388,1.47581,0.01022,0.58491,0.04998,0.04648,0.40592,4.78959,0.79284,0.00016747,0.00016747,0.00016747
4,202.438,0.69412,4.1918,1.39578,0.00767,0.24528,0.01991,0.01983,0.32798,4.84417,1.01556,0.000166892,0.000166892,0.000166892
5,255.272,0.66883,4.06376,1.36778,0.01599,0.79245,0.10226,0.08914,0.62175,4.6782,1.04498,0.000165189,0.000165189,0.000165189
6,311.768,0.64827,3.91311,1.34085,0.01929,0.92689,0.11481,0.11316,0.37271,4.33588,0.72704,0.000163486,0.000163486,0.000163486
7,367.566,0.65734,3.79009,1.33725,0.01743,0.9434,0.11738,0.10449,0.60795,4.30875,0.94322,0.000161783,0.000161783,0.000161783
8,425.453,0.64985,3.66035,1.32634,0.01825,0.96226,0.16763,0.16526,0.31124,3.98681,0.65371,0.00016008,0.00016008,0.00016008
9,484.201,0.63092,3.54032,1.30754,0.06106,0.75472,0.21956,0.21397,0.3788,3.88104,0.76745,0.000158378,0.000158378,0.000158378
10,546.766,0.60749,3.42611,1.28057,0.62567,0.31302,0.17622,0.17416,0.3415,3.91268,0.72615,0.000156675,0.000156675,0.000156675
11,614.568,0.60142,3.34294,1.27276,0.48352,0.30647,0.22955,0.2198,0.38984,3.80563,0.74113,0.000154972,0.000154972,0.000154972
12,685.947,0.57825,3.22916,1.25595,0.55636,0.27638,0.24572,0.23705,0.37972,3.48501,0.72496,0.000153269,0.000153269,0.000153269
13,762.437,0.5972,3.1815,1.26164,0.49045,0.35634,0.27529,0.24645,0.58176,3.48465,0.92307,0.000151566,0.000151566,0.000151566
14,837.765,0.55886,3.1048,1.22637,0.55404,0.28302,0.27997,0.26942,0.39804,3.41677,0.71857,0.000149864,0.000149864,0.000149864
15,913.879,0.53426,3.0446,1.21036,0.70195,0.23977,0.30367,0.28534,0.47501,3.30953,0.80772,0.000148161,0.000148161,0.000148161
16,988.01,0.53611,2.98104,1.20827,0.44867,0.41864,0.3967,0.35595,0.54398,3.27773,0.87689,0.000146458,0.000146458,0.000146458
17,1061.92,0.53227,2.93614,1.21219,0.76398,0.27398,0.43106,0.40164,0.5338,3.0195,0.84971,0.000144755,0.000144755,0.000144755
18,1137.87,0.52877,2.89607,1.20711,0.44154,0.56202,0.57661,0.53169,0.51373,2.92526,0.81004,0.000143052,0.000143052,0.000143052
19,1213.37,0.52013,2.84308,1.20366,0.70871,0.34573,0.53229,0.51583,0.36425,2.94268,0.65077,0.00014135,0.00014135,0.00014135
20,1292.88,0.50383,2.80412,1.18085,0.43072,0.57493,0.61747,0.61185,0.32575,2.77513,0.55507,0.000139647,0.000139647,0.000139647
21,1371.1,0.4979,2.77078,1.17646,0.42139,0.64318,0.59367,0.58232,0.29016,2.86826,0.52639,0.000137944,0.000137944,0.000137944
22,1447.52,0.48539,2.74884,1.17268,0.46881,0.62915,0.64089,0.62161,0.34948,2.66368,0.63383,0.000136241,0.000136241,0.000136241
23,1524.37,0.47549,2.68404,1.16252,0.62373,0.66038,0.75322,0.70402,0.45456,2.45577,0.75346,0.000134538,0.000134538,0.000134538
24,1596.47,0.47789,2.62624,1.16924,0.56697,0.62339,0.65347,0.65347,0.25915,2.39346,0.5381,0.000132836,0.000132836,0.000132836
25,1670.75,0.48748,2.62809,1.17578,0.61606,0.72703,0.7716,0.76972,0.26228,2.22414,0.52213,0.000131133,0.000131133,0.000131133
26,1745.91,0.45477,2.57893,1.1492,0.53319,0.77358,0.79927,0.7812,0.33424,2.22321,0.62604,0.00012943,0.00012943,0.00012943
27,1817.31,0.42713,2.49017,1.12275,0.54215,0.7558,0.80966,0.79229,0.3206,2.08545,0.56869,0.000127727,0.000127727,0.000127727
28,1893.54,0.4282,2.49933,1.12947,0.60541,0.83019,0.83686,0.83311,0.27395,1.97316,0.5127,0.000126024,0.000126024,0.000126024
29,1968.31,0.42416,2.44016,1.11575,0.61711,0.86792,0.87365,0.84117,0.4039,1.86631,0.64424,0.000124322,0.000124322,0.000124322
30,2044.2,0.41965,2.41283,1.12398,0.67882,0.79481,0.88365,0.87801,0.30708,1.81205,0.55027,0.000122619,0.000122619,0.000122619
31,2117.17,0.41974,2.37734,1.11875,0.78081,0.75472,0.86556,0.85617,0.28719,1.74811,0.5638,0.000120916,0.000120916,0.000120916
32,2215.14,0.44625,2.35395,1.13942,0.73314,0.81132,0.90907,0.90907,0.1741,1.7503,0.40565,0.000119213,0.000119213,0.000119213
33,2312.76,0.44022,2.33738,1.13393,0.78049,0.69811,0.92244,0.92244,0.24139,1.72537,0.50728,0.00011751,0.00011751,0.00011751
34,2415.03,0.43699,2.34123,1.14628,0.66801,0.85909,0.90886,0.8932,0.31749,1.62683,0.56075,0.000115808,0.000115808,0.000115808
35,2511.42,0.4152,2.29095,1.10735,0.67791,0.86792,0.90981,0.87565,0.41049,1.61897,0.62348,0.000114105,0.000114105,0.000114105
36,2612.54,0.40506,2.2591,1.11119,0.71113,0.92453,0.95067,0.95067,0.23995,1.45399,0.45706,0.000112402,0.000112402,0.000112402
37,2714.15,0.41034,2.23699,1.1178,0.74715,0.86792,0.93134,0.93134,0.19919,1.44012,0.42615,0.000110699,0.000110699,0.000110699
